onset	duration	sample	type	value
10.329	n/a	10330	STI101	60
12.522	n/a	12523	STI101	60
14.937	n/a	14938	STI101	75
15.458	n/a	15459	STI101	16384
17.382	n/a	17383	STI101	70
19.868	n/a	19869	STI101	60
22.022	n/a	22023	STI101	60
24.167	n/a	24168	STI101	60
26.582	n/a	26583	STI101	60
28.847	n/a	28848	STI101	70
31.031	n/a	31032	STI101	75
31.415	n/a	31416	STI101	16384
33.306	n/a	33307	STI101	65
35.471	n/a	35472	STI101	60
37.946	n/a	37947	STI101	60
40.421	n/a	40422	STI101	60
42.556	n/a	42557	STI101	60
44.961	n/a	44962	STI101	65
47.326	n/a	47327	STI101	65
49.621	n/a	49622	STI101	65
52.046	n/a	52047	STI101	60
54.502	n/a	54503	STI101	65
56.977	n/a	56978	STI101	60
59.081	n/a	59082	STI101	75
59.536	n/a	59537	STI101	16384
61.316	n/a	61317	STI101	60
63.541	n/a	63542	STI101	75
63.946	n/a	63947	STI101	16384
65.766	n/a	65767	STI101	65
67.93	n/a	67931	STI101	65
70.335	n/a	70336	STI101	60
72.47	n/a	72471	STI101	60
74.905	n/a	74906	STI101	70
77.06	n/a	77061	STI101	75
77.468	n/a	77469	STI101	16384
79.445	n/a	79446	STI101	65
81.79	n/a	81791	STI101	75
82.139	n/a	82140	STI101	16384
84.165	n/a	84166	STI101	75
84.64	n/a	84641	STI101	16384
86.66	n/a	86661	STI101	75
87.038	n/a	87039	STI101	16384
89.166	n/a	89167	STI101	70
91.501	n/a	91502	STI101	60
93.826	n/a	93827	STI101	65
95.91	n/a	95911	STI101	70
98.265	n/a	98266	STI101	75
98.63	n/a	98631	STI101	16384
100.69	n/a	100691	STI101	70
103.075	n/a	103076	STI101	70
105.16	n/a	105161	STI101	65
107.204	n/a	107205	STI101	60
109.659	n/a	109660	STI101	65
111.734	n/a	111735	STI101	75
112.134	n/a	112135	STI101	16384
113.888	n/a	113889	STI101	75
114.32	n/a	114321	STI101	16384
116.123	n/a	116124	STI101	65
118.578	n/a	118579	STI101	65
120.813	n/a	120814	STI101	65
123.038	n/a	123039	STI101	60
125.463	n/a	125464	STI101	75
125.89	n/a	125891	STI101	16384
127.658	n/a	127659	STI101	75
128.05	n/a	128051	STI101	16384
128.552	n/a	128553	STI101	16384
130.033	n/a	130034	STI101	75
130.455	n/a	130456	STI101	16384
132.047	n/a	132048	STI101	60
134.162	n/a	134163	STI101	65
136.557	n/a	136558	STI101	65
138.611	n/a	138612	STI101	60
140.846	n/a	140847	STI101	65
143.201	n/a	143202	STI101	75
143.739	n/a	143740	STI101	16384
145.275	n/a	145276	STI101	65
147.32	n/a	147321	STI101	70
149.414	n/a	149415	STI101	60
151.789	n/a	151790	STI101	60
154.265	n/a	154266	STI101	70
156.359	n/a	156360	STI101	75
156.811	n/a	156812	STI101	16384
158.854	n/a	158855	STI101	70
161.32	n/a	161321	STI101	60
163.735	n/a	163736	STI101	70
166.09	n/a	166091	STI101	65
168.355	n/a	168356	STI101	65
170.72	n/a	170721	STI101	65
172.925	n/a	172926	STI101	70
175.069	n/a	175070	STI101	60
177.554	n/a	177555	STI101	65
179.679	n/a	179680	STI101	65
181.914	n/a	181915	STI101	65
183.948	n/a	183949	STI101	75
184.372	n/a	184373	STI101	16384
186.002	n/a	186003	STI101	75
186.45	n/a	186451	STI101	16384
188.047	n/a	188048	STI101	70
190.282	n/a	190283	STI101	60
192.346	n/a	192347	STI101	60
194.811	n/a	194812	STI101	70
197.176	n/a	197177	STI101	65
199.331	n/a	199332	STI101	70
201.546	n/a	201547	STI101	70
203.851	n/a	203852	STI101	60
206.326	n/a	206327	STI101	65
208.41	n/a	208411	STI101	75
208.897	n/a	208898	STI101	16384
210.675	n/a	210676	STI101	70
212.75	n/a	212751	STI101	75
213.127	n/a	213128	STI101	16384
214.794	n/a	214795	STI101	65
217.069	n/a	217070	STI101	75
217.599	n/a	217600	STI101	16384
219.444	n/a	219445	STI101	75
219.826	n/a	219827	STI101	16384
221.458	n/a	221459	STI101	65
223.893	n/a	223894	STI101	65
226.299	n/a	226300	STI101	65
228.704	n/a	228705	STI101	60
230.898	n/a	230899	STI101	65
233.233	n/a	233234	STI101	65
235.709	n/a	235710	STI101	60
237.803	n/a	237804	STI101	60
239.898	n/a	239899	STI101	65
242.403	n/a	242404	STI101	75
242.859	n/a	242860	STI101	16384
244.688	n/a	244689	STI101	60
247.003	n/a	247004	STI101	65
249.358	n/a	249359	STI101	70
251.683	n/a	251684	STI101	60
253.737	n/a	253738	STI101	60
255.992	n/a	255993	STI101	65
258.457	n/a	258458	STI101	70
260.892	n/a	260893	STI101	75
261.326	n/a	261327	STI101	16384
261.68	n/a	261681	STI101	16384
263.087	n/a	263088	STI101	75
263.609	n/a	263610	STI101	16384
263.971	n/a	263972	STI101	16384
265.132	n/a	265133	STI101	75
265.62	n/a	265621	STI101	16384
266.055	n/a	266056	STI101	16384
267.336	n/a	267337	STI101	75
267.741	n/a	267742	STI101	16384
268.171	n/a	268172	STI101	16384
269.351	n/a	269352	STI101	65
271.856	n/a	271857	STI101	60
273.97	n/a	273971	STI101	65
276.045	n/a	276046	STI101	65
278.129	n/a	278130	STI101	70
280.494	n/a	280495	STI101	75
280.898	n/a	280899	STI101	16384
281.286	n/a	281287	STI101	16384
282.599	n/a	282600	STI101	70
284.834	n/a	284835	STI101	60
287.038	n/a	287039	STI101	65
289.524	n/a	289525	STI101	70
291.728	n/a	291729	STI101	75
292.353	n/a	292354	STI101	16384
292.738	n/a	292739	STI101	16384
293.993	n/a	293994	STI101	65
296.398	n/a	296399	STI101	75
296.782	n/a	296783	STI101	16384
297.143	n/a	297144	STI101	16384
298.603	n/a	298604	STI101	65
300.728	n/a	300729	STI101	65
303.133	n/a	303134	STI101	75
303.441	n/a	303442	STI101	16384
303.832	n/a	303833	STI101	16384
305.357	n/a	305358	STI101	75
305.745	n/a	305746	STI101	16384
307.422	n/a	307423	STI101	75
307.765	n/a	307766	STI101	16384
309.526	n/a	309527	STI101	65
311.982	n/a	311983	STI101	75
312.361	n/a	312362	STI101	16384
312.761	n/a	312762	STI101	16384
314.467	n/a	314468	STI101	60
316.732	n/a	316733	STI101	60
319.167	n/a	319168	STI101	75
319.54	n/a	319541	STI101	16384
321.332	n/a	321333	STI101	60
323.667	n/a	323668	STI101	65
325.711	n/a	325712	STI101	75
326.11	n/a	326111	STI101	16384
326.453	n/a	326454	STI101	16384
328.146	n/a	328147	STI101	65
330.471	n/a	330472	STI101	75
330.814	n/a	330815	STI101	16384
332.495	n/a	332496	STI101	65
334.72	n/a	334721	STI101	65
337.196	n/a	337197	STI101	75
337.55	n/a	337551	STI101	16384
337.888	n/a	337889	STI101	16384
339.53	n/a	339531	STI101	75
339.919	n/a	339920	STI101	16384
340.292	n/a	340293	STI101	16384
342.006	n/a	342007	STI101	65
344.2	n/a	344201	STI101	75
344.635	n/a	344636	STI101	16384
346.566	n/a	346567	STI101	75
346.982	n/a	346983	STI101	16384
347.322	n/a	347323	STI101	16384
348.74	n/a	348741	STI101	65
351.175	n/a	351176	STI101	65
353.46	n/a	353461	STI101	60
355.825	n/a	355826	STI101	60
358.24	n/a	358241	STI101	60
360.435	n/a	360436	STI101	65
362.63	n/a	362631	STI101	75
363.045	n/a	363046	STI101	16384
363.37	n/a	363371	STI101	16384
365.075	n/a	365076	STI101	60
367.18	n/a	367181	STI101	65
369.545	n/a	369546	STI101	65
371.609	n/a	371610	STI101	65
373.954	n/a	373955	STI101	70
376.309	n/a	376310	STI101	60
378.764	n/a	378765	STI101	60
381.039	n/a	381040	STI101	60
383.304	n/a	383305	STI101	65
385.639	n/a	385640	STI101	60
387.934	n/a	387935	STI101	65
390.399	n/a	390400	STI101	75
390.807	n/a	390808	STI101	16384
391.173	n/a	391174	STI101	16384
392.784	n/a	392785	STI101	60
395.039	n/a	395040	STI101	75
395.4	n/a	395401	STI101	16384
396.468	n/a	396469	STI101	16384
397.15	n/a	397151	STI101	16384
397.334	n/a	397335	STI101	16449
399.348	n/a	399349	STI101	75
399.661	n/a	399662	STI101	16384
399.724	n/a	399725	STI101	16384
400.026	n/a	400027	STI101	16384
401.363	n/a	401364	STI101	75
401.772	n/a	401773	STI101	16384
401.862	n/a	401863	STI101	16384
402.22	n/a	402221	STI101	16384
403.377	n/a	403378	STI101	65
405.792	n/a	405793	STI101	65
408.127	n/a	408128	STI101	65
410.482	n/a	410483	STI101	60
412.807	n/a	412808	STI101	65
415.172	n/a	415173	STI101	65
417.247	n/a	417248	STI101	65
419.652	n/a	419653	STI101	60
421.917	n/a	421918	STI101	75
422.295	n/a	422296	STI101	16384
422.395	n/a	422396	STI101	16384
422.748	n/a	422749	STI101	16384
424.382	n/a	424383	STI101	60
426.787	n/a	426788	STI101	65
429.022	n/a	429023	STI101	70
431.216	n/a	431217	STI101	75
431.585	n/a	431586	STI101	16384
431.708	n/a	431709	STI101	16384
432.042	n/a	432043	STI101	16384
433.491	n/a	433492	STI101	65
435.816	n/a	435817	STI101	75
436.177	n/a	436178	STI101	16384
436.338	n/a	436339	STI101	16384
436.651	n/a	436652	STI101	16384
438.061	n/a	438062	STI101	65
440.476	n/a	440477	STI101	60
442.631	n/a	442632	STI101	60
444.946	n/a	444947	STI101	65
447.13	n/a	447131	STI101	70
449.325	n/a	449326	STI101	75
449.757	n/a	449758	STI101	16384
449.903	n/a	449904	STI101	16384
450.192	n/a	450193	STI101	16384
451.6	n/a	451601	STI101	60
453.975	n/a	453976	STI101	60
456.43	n/a	456431	STI101	65
458.745	n/a	458746	STI101	70
461.01	n/a	461011	STI101	75
461.452	n/a	461453	STI101	16384
461.541	n/a	461542	STI101	16384
461.831	n/a	461832	STI101	16384
463.355	n/a	463356	STI101	75
463.708	n/a	463709	STI101	16384
463.832	n/a	463833	STI101	16384
464.19	n/a	464191	STI101	16384
465.82	n/a	465821	STI101	60
467.995	n/a	467996	STI101	60
470.26	n/a	470261	STI101	60
472.525	n/a	472526	STI101	60
474.679	n/a	474680	STI101	65
476.874	n/a	476875	STI101	60
479.299	n/a	479300	STI101	70
481.354	n/a	481355	STI101	65
483.819	n/a	483820	STI101	65
485.833	n/a	485834	STI101	70
488.158	n/a	488159	STI101	60
490.603	n/a	490604	STI101	75
490.996	n/a	490997	STI101	16384
491.104	n/a	491105	STI101	16384
491.429	n/a	491430	STI101	16384
492.778	n/a	492779	STI101	65
501.504	n/a	501505	STI101	201
506.366	n/a	506367	STI101	201
522.732	n/a	522733	STI101	60
525.097	n/a	525098	STI101	65
527.492	n/a	527493	STI101	65
529.867	n/a	529868	STI101	60
532.282	n/a	532283	STI101	65
534.577	n/a	534578	STI101	70
536.992	n/a	536993	STI101	65
539.398	n/a	539399	STI101	75
539.968	n/a	539969	STI101	16384
540.053	n/a	540054	STI101	16384
540.371	n/a	540372	STI101	16384
541.582	n/a	541583	STI101	75
541.96	n/a	541961	STI101	16384
542.049	n/a	542050	STI101	16384
542.407	n/a	542408	STI101	16384
543.637	n/a	543638	STI101	60
546.102	n/a	546103	STI101	60
548.196	n/a	548197	STI101	60
550.431	n/a	550432	STI101	70
552.906	n/a	552907	STI101	60
555.281	n/a	555282	STI101	70
557.336	n/a	557337	STI101	60
559.38	n/a	559381	STI101	70
561.505	n/a	561506	STI101	75
561.883	n/a	561884	STI101	16384
561.956	n/a	561957	STI101	16384
562.271	n/a	562272	STI101	16384
563.86	n/a	563861	STI101	70
565.874	n/a	565875	STI101	60
568.129	n/a	568130	STI101	70
570.344	n/a	570345	STI101	65
572.669	n/a	572670	STI101	70
574.964	n/a	574965	STI101	75
575.453	n/a	575454	STI101	16384
575.901	n/a	575902	STI101	16384
577.379	n/a	577380	STI101	75
577.934	n/a	577935	STI101	16384
578.309	n/a	578310	STI101	16384
579.834	n/a	579835	STI101	60
582.139	n/a	582140	STI101	65
584.344	n/a	584345	STI101	65
586.779	n/a	586780	STI101	70
589.174	n/a	589175	STI101	60
591.198	n/a	591199	STI101	70
593.653	n/a	593654	STI101	60
596.099	n/a	596100	STI101	70
598.364	n/a	598365	STI101	65
