onset	duration	sample	type	value
2.292	n/a	2293	STI101	45
4.667	n/a	4668	STI101	40
7.152	n/a	7153	STI101	35
9.247	n/a	9248	STI101	35
11.522	n/a	11523	STI101	55
12.174	n/a	12175	STI101	16384
12.397	n/a	12398	STI101	16384
12.684	n/a	12685	STI101	16384
13.756	n/a	13757	STI101	50
15.961	n/a	15962	STI101	55
16.505	n/a	16506	STI101	16384
16.683	n/a	16684	STI101	16384
16.988	n/a	16989	STI101	16384
18.356	n/a	18357	STI101	50
20.481	n/a	20482	STI101	40
22.766	n/a	22767	STI101	35
24.79	n/a	24791	STI101	40
26.864	n/a	26865	STI101	40
29.33	n/a	29331	STI101	50
31.685	n/a	31686	STI101	45
34.04	n/a	34041	STI101	55
34.688	n/a	34689	STI101	16384
34.811	n/a	34812	STI101	16384
35.134	n/a	35135	STI101	16384
36.194	n/a	36195	STI101	55
36.759	n/a	36760	STI101	16384
36.985	n/a	36986	STI101	16384
37.278	n/a	37279	STI101	16384
38.579	n/a	38580	STI101	50
41.075	n/a	41076	STI101	40
43.58	n/a	43581	STI101	40
45.795	n/a	45796	STI101	55
46.375	n/a	46376	STI101	16384
46.497	n/a	46498	STI101	16384
46.805	n/a	46806	STI101	16384
48.3	n/a	48301	STI101	35
50.435	n/a	50436	STI101	40
52.93	n/a	52931	STI101	40
55.255	n/a	55256	STI101	55
55.736	n/a	55737	STI101	16384
56.253	n/a	56254	STI101	16384
57.34	n/a	57341	STI101	45
59.745	n/a	59746	STI101	55
60.23	n/a	60231	STI101	16384
60.625	n/a	60626	STI101	16384
62.22	n/a	62221	STI101	45
64.324	n/a	64325	STI101	35
66.82	n/a	66821	STI101	55
67.37	n/a	67371	STI101	16384
69.055	n/a	69056	STI101	40
71.289	n/a	71290	STI101	40
73.544	n/a	73545	STI101	55
74.098	n/a	74099	STI101	16384
74.583	n/a	74584	STI101	16384
75.819	n/a	75820	STI101	55
76.568	n/a	76569	STI101	16384
77.187	n/a	77188	STI101	16384
77.873	n/a	77874	STI101	45
80.269	n/a	80270	STI101	35
82.604	n/a	82605	STI101	35
84.838	n/a	84839	STI101	45
86.973	n/a	86974	STI101	40
89.117	n/a	89118	STI101	35
91.372	n/a	91373	STI101	55
91.93	n/a	91931	STI101	16384
93.657	n/a	93658	STI101	50
96.032	n/a	96033	STI101	45
98.197	n/a	98198	STI101	40
100.502	n/a	100503	STI101	35
102.837	n/a	102838	STI101	55
103.427	n/a	103428	STI101	16384
105.081	n/a	105082	STI101	55
105.661	n/a	105662	STI101	16384
107.256	n/a	107257	STI101	45
109.521	n/a	109522	STI101	50
111.535	n/a	111536	STI101	55
112.136	n/a	112137	STI101	16384
114.001	n/a	114002	STI101	55
114.55	n/a	114551	STI101	16384
116.326	n/a	116327	STI101	55
116.814	n/a	116815	STI101	16384
118.45	n/a	118451	STI101	35
118.828	n/a	118829	STI101	16384
120.915	n/a	120916	STI101	40
123.01	n/a	123011	STI101	55
123.619	n/a	123620	STI101	16384
125.325	n/a	125326	STI101	40
127.77	n/a	127771	STI101	35
129.864	n/a	129865	STI101	40
132.31	n/a	132311	STI101	45
134.504	n/a	134505	STI101	45
136.779	n/a	136780	STI101	55
137.541	n/a	137542	STI101	16384
138.083	n/a	138084	STI101	16384
138.854	n/a	138855	STI101	45
141.219	n/a	141220	STI101	45
143.313	n/a	143314	STI101	55
143.942	n/a	143943	STI101	16384
145.668	n/a	145669	STI101	55
146.108	n/a	146109	STI101	16384
147.743	n/a	147744	STI101	55
148.185	n/a	148186	STI101	16384
148.699	n/a	148700	STI101	16384
149.967	n/a	149968	STI101	40
152.122	n/a	152123	STI101	55
152.665	n/a	152666	STI101	16384
154.337	n/a	154338	STI101	55
154.871	n/a	154872	STI101	16384
156.592	n/a	156593	STI101	50
158.977	n/a	158978	STI101	50
161.101	n/a	161102	STI101	35
163.587	n/a	163588	STI101	35
166.082	n/a	166083	STI101	55
166.568	n/a	166569	STI101	16384
168.287	n/a	168288	STI101	55
168.772	n/a	168773	STI101	16384
170.732	n/a	170733	STI101	50
173.037	n/a	173038	STI101	35
175.362	n/a	175363	STI101	55
175.962	n/a	175963	STI101	16384
177.787	n/a	177788	STI101	55
178.342	n/a	178343	STI101	16384
180.002	n/a	180003	STI101	35
182.136	n/a	182137	STI101	40
184.2	n/a	184201	STI101	52
184.201	n/a	184202	STI101	55
184.754	n/a	184755	STI101	16384
185.175	n/a	185176	STI101	16384
186.235	n/a	186236	STI101	40
188.69	n/a	188691	STI101	55
189.374	n/a	189375	STI101	16384
190.875	n/a	190876	STI101	55
191.806	n/a	191807	STI101	16384
193.11	n/a	193111	STI101	50
195.364	n/a	195365	STI101	55
195.909	n/a	195910	STI101	16384
197.539	n/a	197540	STI101	55
198.074	n/a	198075	STI101	16384
199.804	n/a	199805	STI101	35
201.838	n/a	201839	STI101	55
202.341	n/a	202342	STI101	16384
204.243	n/a	204244	STI101	50
206.568	n/a	206569	STI101	35
209.064	n/a	209065	STI101	45
211.469	n/a	211470	STI101	40
213.824	n/a	213825	STI101	40
216.319	n/a	216320	STI101	55
216.915	n/a	216916	STI101	16384
218.574	n/a	218575	STI101	40
220.608	n/a	220609	STI101	45
222.663	n/a	222664	STI101	40
224.717	n/a	224718	STI101	40
227.142	n/a	227143	STI101	35
229.197	n/a	229198	STI101	35
231.552	n/a	231553	STI101	40
234.007	n/a	234008	STI101	40
236.302	n/a	236303	STI101	55
236.93	n/a	236931	STI101	16384
238.537	n/a	238538	STI101	45
240.872	n/a	240873	STI101	55
241.512	n/a	241513	STI101	16384
242.896	n/a	242897	STI101	55
243.465	n/a	243466	STI101	16384
244.99	n/a	244991	STI101	45
